estado,municipio,media_pm2_5,data
SÃO PAULO,SERTÃOZINHO,75.27,25-03-2025 00:00:00
SÃO PAULO,DUMONT,74.5,26-03-2025 00:00:00
SÃO PAULO,BARRINHA,69.71,27-03-2025 00:00:00
SÃO PAULO,PONTAL,67.64,28-03-2025 00:00:00
SÃO PAULO,PRADÓPOLIS,64.26,29-03-2025 00:00:00
SÃO PAULO,RIBEIRÃO PRETO,61.99,30-03-2025 00:00:00
SÃO PAULO,PITANGUEIRAS,59.95,31-03-2025 00:00:00
SÃO PAULO,GUARIBA,58.46,01-04-2025 00:00:00
SÃO PAULO,SÃO CAETANO DO SUL,58.32,02-04-2025 00:00:00
SÃO PAULO,JABOTICABAL,58.12,03-04-2025 00:00:00
SÃO PAULO,MAUÁ,57.24,04-04-2025 00:00:00
SÃO PAULO,SANTO ANDRÉ,55.98,05-04-2025 00:00:00
SÃO PAULO,GUATAPARÁ,55.65,06-04-2025 00:00:00
SÃO PAULO,FERRAZ DE VASCONCELOS,55.55,07-04-2025 00:00:00
SÃO PAULO,SÃO PAULO,55.5,08-04-2025 00:00:00
SÃO PAULO,RIBEIRÃO PIRES,54.94,09-04-2025 00:00:00
SÃO PAULO,TABOÃO DA SERRA,53.78,10-04-2025 00:00:00
SÃO PAULO,VIRADOURO,53.77,11-04-2025 00:00:00
SÃO PAULO,SÃO BERNARDO DO CAMPO,53.7,12-04-2025 00:00:00
SÃO PAULO,JARDINÓPOLIS,53.45,13-04-2025 00:00:00
SÃO PAULO,DIADEMA,53.3,14-04-2025 00:00:00
SÃO PAULO,MOTUCA,53.05,15-04-2025 00:00:00
SÃO PAULO,TAQUARAL,52.79,16-04-2025 00:00:00
SÃO PAULO,MORRO AGUDO,52.46,17-04-2025 00:00:00
SÃO PAULO,RIO GRANDE DA SERRA,52.12,18-04-2025 00:00:00
SÃO PAULO,POÁ,52.04,19-04-2025 00:00:00
SÃO PAULO,OSASCO,51.03,20-04-2025 00:00:00
SÃO PAULO,TERRA ROXA,50.87,21-04-2025 00:00:00
SÃO PAULO,TAIÚVA,50.72,22-04-2025 00:00:00
SÃO PAULO,SANTA ERNESTINA,50.54,23-04-2025 00:00:00
SÃO PAULO,ITAQUAQUECETUBA,50.27,24-04-2025 00:00:00
SÃO PAULO,GUARULHOS,50.2,25-04-2025 00:00:00
SÃO PAULO,SUZANO,49.76,26-04-2025 00:00:00
SÃO PAULO,CRAVINHOS,49.65,27-04-2025 00:00:00
